date,state,positive,negative,hospitalizedCurrently,hospitalizedCumulative,recovered,death,hospitalized,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
20200301,MI,9,,,,,,,,,14,0,0,26,0,0,9,9,0,9,0,0
20200301,RI,2,2,,,,,,2,2,2,,,44,0,0,4,4,0,4,0,0
20200301,WA,377,12,,,,8,,,,34,,,53,78,-5,389,389,73,389,3,0
20200302,MI,18,,,,,,,,,27,,0,26,9,0,18,18,9,18,0,0
20200302,RI,2,3,,,,,,2,3,2,,,44,0,1,5,5,1,5,0,0
20200302,WA,450,123,,,,11,,,,65,,,53,73,111,573,573,184,573,3,0
20200303,MI,34,,,,,,,,,50,,0,26,16,0,34,34,16,34,0,0
20200303,RI,2,5,,,,,,2,5,2,,,44,0,2,7,7,2,7,0,0
20200303,WA,534,264,,,,14,,,,90,,,53,84,141,798,798,225,798,3,0
20200304,AZ,2,27,,4,,,4,,,,,,4,0,0,34,29,0,29,0,0
20200304,CA,53,462,,,,,,,,,,,6,0,0,515,515,0,515,0,0
20200304,FL,2,24,,,,,,,,,,,12,0,0,42,26,0,26,0,0
20200304,GA,2,,,,,,,,,,,,13,0,0,2,2,0,2,0,0
20200304,IL,4,124,,,,,,,,,,,17,0,0,155,128,0,128,0,0
20200304,MI,52,,,,,,,,,74,0,0,26,18,0,52,52,18,52,0,0
20200304,NC,1,,,,,,,,,,,,37,0,0,1,1,0,1,0,0
20200304,NH,2,10,,,,,,,,,,,33,0,0,19,12,0,12,0,0
20200304,NY,6,48,,,,,,,,14,0,,36,0,0,78,54,0,54,0,0
20200304,OR,3,29,,,,,,,,,,,41,0,0,50,32,0,32,0,0
20200304,RI,2,15,,,,,,2,17,2,,,44,0,10,17,17,10,17,0,0
20200304,SC,0,5,,,,,,,,,,,45,0,0,5,5,0,5,0,0
20200304,TX,1,,,,,,,,,1,,,48,0,0,1,1,0,1,0,0
20200304,WA,626,417,,,,16,,,,128,,,53,92,153,1043,1043,245,1043,2,0
20200304,WI,1,19,,,,,,,,1,,,55,0,0,26,20,0,20,0,0
20200305,AZ,2,28,,5,,,5,,,,,,4,0,1,36,30,1,30,0,1
20200305,CA,53,462,,,,,,,,,,,6,0,0,515,515,0,515,0,0
20200305,CO,0,19,,,,,,,,,,,8,0,0,40,19,0,19,0,0
20200305,DC,0,6,,,,,,,,,,,11,0,0,8,6,0,6,0,0
20200305,FL,9,31,,,,,,,,,,,12,7,7,109,40,14,40,0,0
20200305,GA,2,,,,,,,,,,,,13,0,0,2,2,0,2,0,0
20200305,IL,5,165,,,,,,,,,,,17,1,41,197,170,42,170,0,0
20200305,MD,0,17,,,,,,,,0,,,24,0,0,31,17,0,17,0,0
20200305,MI,72,8,,,,,,,,100,0,0,26,20,8,80,80,28,80,0,0
20200305,NC,1,,,,,,,,,,,,37,0,0,1,1,0,1,0,0
20200305,NE,0,17,,,,,,,,,,,31,0,0,22,17,0,17,0,0
20200305,NH,2,16,,,,,,,,,,,33,0,6,22,18,6,18,0,0
20200305,NJ,1,,,,,,,,,,,,34,0,0,1,1,0,1,0,0
20200305,NV,1,14,,,,0,,,,,,,32,0,0,15,15,0,15,0,0
20200305,NY,22,76,,,,,,,,,,,36,16,28,122,98,44,98,0,0
20200305,OH,0,7,,,,,,,,0,,,39,0,0,10,7,0,7,0,0
20200305,OR,3,45,,,,,,,,,,,41,0,16,61,48,16,48,0,0
20200305,RI,3,19,,,,,,2,21,3,,,44,1,4,22,22,5,22,0,0
20200305,SC,0,5,,,,,,,,,,,45,0,0,5,5,0,5,0,0
20200305,TN,1,,,,,,,,,,,,47,0,0,1,1,0,1,0,0
20200305,TX,1,,,,,,,,,1,,,48,0,0,1,1,0,1,0,0
20200305,VA,0,18,,,,,,,,,,,51,0,0,21,18,0,18,0,0
20200305,WA,731,672,,,,20,,,,179,,,53,105,255,1403,1403,360,1403,4,0
20200305,WI,1,19,,,,,,,,1,,,55,0,0,26,20,0,20,0,0
20200306,AK,0,8,,,,0,,,,0,,,2,0,0,9,8,0,8,0,0
20200306,AR,0,6,,,,,,,,0,,,5,0,0,6,6,0,6,0,0
20200306,AZ,3,33,,6,,,6,,,,,,4,1,5,51,36,6,36,0,1
20200306,CA,60,462,,,,,,,,,,,6,7,0,522,522,7,522,0,0
20200306,CO,2,46,,,,,,,,,,,8,2,27,78,48,29,48,0,0
20200306,DC,0,8,,,,,,,,,,,11,0,2,9,8,2,8,0,0
20200306,DE,0,10,,,,,,,,,,,10,0,0,10,10,0,10,0,0
20200306,FL,9,55,,,,,,,,,,,12,0,24,115,64,24,64,0,0
20200306,GA,2,,,,,,,,,,,,13,0,0,2,2,0,2,0,0
20200306,IA,0,15,,,,,,,,0,,,19,0,0,17,15,0,15,0,0
20200306,IL,5,180,,,,,,,,,,,17,0,15,220,185,15,185,0,0
20200306,IN,1,,,,,,,,,,,,18,0,0,1,1,0,1,0,0
20200306,KS,0,4,,,,,,,,,,,20,0,0,4,4,0,4,0,0
20200306,KY,0,7,,,,,,,,,,,21,0,0,10,7,0,7,0,0
20200306,MD,3,26,,,,,,,,3,,,24,3,9,41,29,12,29,0,0
20200306,MI,98,8,,,,,,,,140,0,0,26,26,0,114,106,26,106,0,0
20200306,MN,1,36,,,,,,,,1,,,27,0,0,37,37,0,37,0,0
20200306,NC,2,,,,,,,,,,,,37,1,0,2,2,1,2,0,0
20200306,NE,0,17,,,,,,,,,,,31,0,0,22,17,0,17,0,0
20200306,NH,2,20,,,,,,,,,,,33,0,4,25,22,4,22,0,0
20200306,NJ,1,,,,,,,,,,,,34,0,0,1,1,0,1,0,0
20200306,NM,0,16,,,,,,,,,,,35,0,0,16,16,0,16,0,0
20200306,NV,1,14,,,,0,,,,74,0,,32,0,0,15,15,0,15,0,0
20200306,NY,33,92,,,,,,,,,,,36,11,16,361,125,27,125,0,0
20200306,OH,0,8,,,,,,,,0,,,39,0,1,10,8,1,8,0,0
20200306,OR,3,64,,,,,,,,,,,41,0,19,95,67,19,67,0,0
20200306,PA,2,,,,,,,,,,,,42,0,0,2,2,0,2,0,0
20200306,RI,3,30,,,,,,3,33,3,,,44,0,11,33,33,11,33,0,0
20200306,SC,0,5,,,,,,,,,,,45,0,0,5,5,0,5,0,0
20200306,TN,1,,,,,,,,,,,,47,0,0,1,1,0,1,0,0
20200306,TX,5,,,,,,,,,5,,,48,4,0,5,5,4,5,0,0
20200306,VA,0,21,,,,,,,,,,,51,0,3,31,21,3,21,0,0
20200306,VT,0,0,,,,,,,,,,,50,0,0,0,0,0,0,0,0
20200306,WA,813,1066,,,,26,,,,218,,,53,82,394,1879,1879,476,1879,6,0
20200306,WI,1,31,,,,,,,,1,,,55,0,12,44,32,12,32,0,0
20200306,WV,0,1,,,,,,,,,,,54,0,0,5,1,0,1,0,0
20200307,AK,0,12,,,,0,,,,0,,,2,0,4,14,12,4,12,0,0
20200307,AL,0,,,,,,,,,0,,,1,0,0,0,0,0,0,0,0
20200307,AR,0,6,,,,,,,,0,,,5,0,0,6,6,0,6,0,0
20200307,AZ,5,44,,6,,,6,,,,,,4,2,11,56,49,13,49,0,0
20200307,CA,69,462,,,,,,,,,,,6,9,0,531,531,9,531,0,0
20200307,CO,8,55,,,,,,,,,,,8,6,9,132,63,15,63,0,0
20200307,CT,0,,,,,,,,,,,,9,0,0,0,0,0,0,0,0
20200307,DC,0,8,,,,,,,,,,,11,0,0,9,8,0,8,0,0
20200307,DE,0,10,,,,,,,,,,,10,0,0,10,10,0,10,0,0
20200307,FL,14,100,,,,,,,,,,,12,5,45,202,114,50,114,0,0
20200307,GA,6,,,,,,,,,,,,13,4,0,6,6,4,6,0,0
20200307,HI,1,,,,,,,,,,,,15,0,0,1,1,0,1,0,0
20200307,IA,0,15,,,,,,,,0,,,19,0,0,17,15,0,15,0,0
20200307,ID,0,27,,,,,,,,,,,16,0,0,27,27,0,27,0,0
20200307,IL,6,191,,,,,,,,,,,17,1,11,241,197,12,197,0,0
